Պատասխանների աղյուսակ (1–25)
Հարց | Պատասխան
1 | B
2 | B
3 | B
4 | C
5 | B
6 | C
7 | B
8 | B
9 | B
10 | A
11 | A
12 | B
13 | C
14 | B
15 | B
16 | B
17 | B
18 | B
19 | B
20 | B
21 | B
22 | B
23 | B
24 | C
25 | B
26 | B
27 | B
28 | B
29 | B
30 | A
31 | A
32 | B
33 | B
34 | B
35 | A
36 | B
37 | A
38 | B
39 | A
40 | A
41 | A
42 | A
43 | A
44 | B
45 | B
46 | A
47 | A
48 | A
49 | A
50 | B
51 | B
52 | B
53 | A
54 | A
55 | A
56 | A
57 | A
58 | A
59 | A
60 | A
61 | A
62 | A
63 | A
64 | A
65 | A
66 | A
67 | A
68 | A
69 | A
70 | A
71 | A
72 | A
73 | A
74 | A
75 | A
76 | A
77 | A
78 | A
79 | A
80 | A
81 | A
82 | A
83 | A
84 | A
85 | A
86 | A
87 | A
88 | A
89 | A
90 | A
91 | A
92 | A
93 | A
94 | A
95 | A
96 | A
97 | A
98 | A
99 | A
100 | A
